1828.02.02_CaledonianMercury_0001,1828.02.01_TheBelfastNews-Letter_0001
1828.03.15_TheNewcastleCourantetc_0003,1828.02.18_TheBristolMercury_0002
1828.03.15_TheNewcastleCourantetc_0003,1828.02.23_TheIpswichJournal_0001
1828.03.15_TheNewcastleCourantetc_0003,1828.02.29_LiverpoolMercuryetc_0001
1828.03.15_TheNewcastleCourantetc_0004,1828.02.08_LiverpoolMercuryetc_0005
1828.03.17_TheBristolMercury_0001,1828.02.02_TheNewcastleCourantetc_0003
1828.03.17_TheBristolMercury_0001,1828.02.03_TheExaminer_0016
1828.03.17_TheBristolMercury_0001,1828.02.12_TheHullPacketandHumberMercury_0001
1828.03.17_TheBristolMercury_0001,1828.02.13_TheDerbyMercury_0004
1828.03.17_TheBristolMercury_0001,1828.02.16_TheNewcastleCourantetc_0003
1828.03.17_TheBristolMercury_0001,1828.02.23_TheIpswichJournal_0001
1828.03.17_TheBristolMercury_0001,1828.02.26_TheHullPacketandHumberMercury_0001
1828.03.17_TheBristolMercury_0001,1828.02.29_LiverpoolMercuryetc_0001
1828.03.18_TheBelfastNews-Letter_0001,1828.02.10_TheExaminer_0014
1828.03.21_LiverpoolMercuryetc_0005,1828.02.26_TheHullPacketandHumberMercury_0001
1828.03.22_TheIpswichJournal_0001,1828.02.03_TheExaminer_0016
1828.03.22_TheNewcastleCourantetc_0001,1828.02.08_LiverpoolMercuryetc_0005
1828.03.22_TheNewcastleCourantetc_0003,1828.02.02_TheIpswichJournal_0004
1828.03.22_TheNewcastleCourantetc_0003,1828.02.06_TheDerbyMercury_0004
1828.03.22_TheNewcastleCourantetc_0003,1828.02.08_TheBelfastNews-Letter_0001
1828.03.22_TheNewcastleCourantetc_0003,1828.02.10_TheExaminer_0014
1828.03.22_TheNewcastleCourantetc_0003,1828.02.25_TheBristolMercury_0002
1828.03.24_TheBristolMercury_0001,1828.02.02_TheIpswichJournal_0004
1828.03.24_TheBristolMercury_0001,1828.02.09_TheNewcastleCourantetc_0003
1828.03.24_TheBristolMercury_0001,1828.02.10_TheExaminer_0014
1828.03.24_TheBristolMercury_0001,1828.02.23_TheNewcastleCourantetc_0003
1828.03.25_TheHullPacketandHumberMercury_0001,1828.02.03_TheExaminer_0016
1828.03.25_TheHullPacketandHumberMercury_0001,1828.02.04_TheBristolMercury_0002
1828.03.25_TheHullPacketandHumberMercury_0001,1828.02.23_TheIpswichJournal_0001
1828.03.25_TheHullPacketandHumberMercury_0001,1828.02.29_LiverpoolMercuryetc_0001
1828.03.27_NorthWalesChronicle_0003,1828.02.29_LiverpoolMercuryetc_0007
1828.03.27_NorthWalesChronicle_0004,1828.02.29_TheBelfastNews-Letter_0004
1828.03.28_LiverpoolMercuryetc_0007,1828.02.14_NorthWalesChronicle_0003
1828.03.29_TheNewcastleCourantetc_0003,1828.02.03_TheExaminer_0016
1828.03.29_TheNewcastleCourantetc_0003,1828.02.23_TheIpswichJournal_0001
1828.03.29_TheNewcastleCourantetc_0003,1828.02.29_LiverpoolMercuryetc_0001
1828.03.29_TheNewcastleCourantetc_0004,1828.02.08_LiverpoolMercuryetc_0005
1828.03.31_CaledonianMercury_0002,1828.02.29_LiverpoolMercuryetc_0007
1828.03.31_TheBristolMercury_0001,1828.02.03_TheExaminer_0016
1828.03.31_TheBristolMercury_0001,1828.02.23_TheIpswichJournal_0001
1828.03.31_TheBristolMercury_0001,1828.02.29_LiverpoolMercuryetc_0001
1828.04.01_TheHullPacketandHumberMercury_0002,1828.02.08_LiverpoolMercuryetc_0005
1828.04.06_TheExaminer_0014,1828.02.02_TheIpswichJournal_0004
1828.04.06_TheExaminer_0014,1828.02.08_TheBelfastNews-Letter_0001
1828.04.06_TheExaminer_0014,1828.02.09_TheNewcastleCourantetc_0003
1828.04.06_TheExaminer_0014,1828.02.16_TheIpswichJournal_0001
1828.04.06_TheExaminer_0014,1828.02.19_TheHullPacketandHumberMercury_0001
1828.04.06_TheExaminer_0014,1828.02.23_TheNewcastleCourantetc_0003
1828.04.06_TheExaminer_0014,1828.02.25_TheBristolMercury_0002
1828.04.07_CaledonianMercury_0004,1828.02.22_TheBelfastNews-Letter_0001
1828.04.07_CaledonianMercury_0004,1828.02.26_TheHullPacketandHumberMercury_0001
1828.04.07_CaledonianMercury_0004,1828.02.26_TheHullPacketandHumberMercury_0004
1828.04.07_TheBristolMercury_0004,1828.02.29_LiverpoolMercuryetc_0007
1828.04.10_NorthWalesChronicle_0001,1828.02.25_TheBristolMercury_0004
1828.04.15_TheBelfastNews-Letter_0001,1828.02.10_TheExaminer_0014
1828.04.19_TheNewcastleCourantetc_0003,1828.02.13_TheDerbyMercury_0001
1828.04.22_TheBristolMercury_0004,1828.02.14_NorthWalesChronicle_0003
1828.04.23_TheDerbyMercury_0001,1828.02.08_LiverpoolMercuryetc_0005
1828.04.25_LiverpoolMercuryetc_0007,1828.02.14_NorthWalesChronicle_0003
1828.04.25_LiverpoolMercuryetc_0007,1828.02.28_NorthWalesChronicle_0003
1828.04.29_TheBristolMercury_0003,1828.02.29_LiverpoolMercuryetc_0007
1828.05.09_LiverpoolMercuryetc_0007,1828.02.14_NorthWalesChronicle_0003
1828.05.27_TheBelfastNews-Letter_0001,1828.02.02_TheIpswichJournal_0004
1828.05.28_TheDerbyMercury_0003,1828.02.05_TheHullPacketandHumberMercury_0002
1828.05.28_TheDerbyMercury_0004,1828.02.05_TheHullPacketandHumberMercury_0002
1828.06.04_TheDerbyMercury_0004,1828.02.26_TheHullPacketandHumberMercury_0001
1828.06.10_TheBristolMercury_0002,1828.02.05_TheHullPacketandHumberMercury_0002
1828.06.14_TheLeedsMercury_0002,1828.02.05_TheHullPacketandHumberMercury_0002
1828.06.21_TheNewcastleCourantetc_0004,1828.02.08_LiverpoolMercuryetc_0005
1828.07.04_LiverpoolMercuryetc_0007,1828.02.01_TheBelfastNews-Letter_0004
1828.07.04_LiverpoolMercuryetc_0007,1828.02.14_NorthWalesChronicle_0003
1828.07.04_LiverpoolMercuryetc_0007,1828.02.25_TheBristolMercury_0003
1828.07.04_LiverpoolMercuryetc_0007,1828.02.28_NorthWalesChronicle_0003
1828.07.16_TheDerbyMercury_0001,1828.02.29_LiverpoolMercuryetc_0007
1828.07.18_LiverpoolMercuryetc_0007,1828.02.14_NorthWalesChronicle_0003
1828.07.18_LiverpoolMercuryetc_0007,1828.02.28_NorthWalesChronicle_0003
1828.07.23_TheDerbyMercury_0001,1828.02.25_HampshireTelegraphandSussexChronicleetc_0001
1828.07.25_LiverpoolMercuryetc_0007,1828.02.01_TheBelfastNews-Letter_0004
1828.07.25_LiverpoolMercuryetc_0007,1828.02.14_NorthWalesChronicle_0003
1828.08.01_LiverpoolMercuryetc_0007,1828.02.01_TheBelfastNews-Letter_0004
1828.08.01_LiverpoolMercuryetc_0007,1828.02.14_NorthWalesChronicle_0003
1828.08.01_LiverpoolMercuryetc_0007,1828.02.28_NorthWalesChronicle_0003
1828.08.08_LiverpoolMercuryetc_0007,1828.02.14_NorthWalesChronicle_0003
1828.08.08_LiverpoolMercuryetc_0007,1828.02.25_TheBristolMercury_0003
1828.08.12_TheBristolMercury_0004,1828.02.22_LiverpoolMercuryetc_0007
1828.08.13_TheDerbyMercury_0004,1828.02.26_TheHullPacketandHumberMercury_0001
1828.08.23_TheNewcastleCourantetc_0003,1828.02.23_TheIpswichJournal_0001
1828.09.10_TheDerbyMercury_0004,1828.02.26_TheHullPacketandHumberMercury_0001
